auid,indexed_name,surname,given_name,db_title,doi,cited_by,pub_date,parsed_title,ds_clean,title,affiliation,af_name,af_country,af_city,af_state,af_type,af_postal
-520430348,Althaus N.,Althaus,Nadja,Timing matters: The impact of label synchrony on infant categorisation,10.1016/j.cognition.2015.02.004,13,2015-06-01,Timing matters: The impact of label synchrony on infant categorisation,Label advantage in concept learning,,60026851,University of Oxford,United Kingdom,Oxford,Oxfordshire,univ,OX1 2JD
-1585838860,Plunkett K.,Plunkett,Kim,Timing matters: The impact of label synchrony on infant categorisation,10.1016/j.cognition.2015.02.004,13,2015-06-01,Timing matters: The impact of label synchrony on infant categorisation,Label advantage in concept learning,,60026851,University of Oxford,United Kingdom,Oxford,Oxfordshire,univ,OX1 2JD
737384352,Deng W.S.,Deng,Wei Sophia,"Linguistic labels, dynamic visual features, and attention in infant category learning",10.1016/j.jecp.2015.01.012,8,2015-06-01,"Linguistic labels, dynamic visual features, and attention in infant category learning",Label advantage in concept learning,,60003500,The Ohio State University,United States,Columbus,OH,univ,43210-1132
-1888547316,Sloutsky V.M.,Sloutsky,Vladimir M.,"Linguistic labels, dynamic visual features, and attention in infant category learning",10.1016/j.jecp.2015.01.012,8,2015-06-01,"Linguistic labels, dynamic visual features, and attention in infant category learning",Label advantage in concept learning,,60003500,The Ohio State University,United States,Columbus,OH,univ,43210-1132
766068324,Ferry A.L.,Ferry,Alissa L.,Categorization in 3- and 4-month-old infants: An advantage of words over tones,10.1111/j.1467-8624.2009.01408.x,162,2010-03-01,Categorization in 3-and 4-month-old infants: an advantage of words over tones,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1986923913,Hespos S.J.,Hespos,Susan J.,Categorization in 3- and 4-month-old infants: An advantage of words over tones,10.1111/j.1467-8624.2009.01408.x,162,2010-03-01,Categorization in 3-and 4-month-old infants: an advantage of words over tones,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388291214,Waxman S.R.,Waxman,Sandra R.,Categorization in 3- and 4-month-old infants: An advantage of words over tones,10.1111/j.1467-8624.2009.01408.x,162,2010-03-01,Categorization in 3-and 4-month-old infants: an advantage of words over tones,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
766068324,Ferry A.L.,Ferry,Alissa L.,Nonhuman primate vocalizations support categorization in very young human infants,10.1073/pnas.1221166110,56,2013-10-17,Nonhuman primate vocalizations support categorization in very young human infants,Label advantage in concept learning,,60012227,Scuola Internazionale Superiore di Studi Avanzati,Italy,Trieste,TS,univ,34136
766068324,Ferry A.L.,Ferry,Alissa L.,Nonhuman primate vocalizations support categorization in very young human infants,10.1073/pnas.1221166110,56,2013-10-17,Nonhuman primate vocalizations support categorization in very young human infants,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1986923913,Hespos S.J.,Hespos,Susan J.,Nonhuman primate vocalizations support categorization in very young human infants,10.1073/pnas.1221166110,56,2013-10-17,Nonhuman primate vocalizations support categorization in very young human infants,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
