ds_clean,long_cite,parsed_paper_title
Label advantage in concept learning,"Althaus, N., & Plunkett, K. (2015). Timing matters: The impact of label synchrony on infant categorisation. Cognition, 139, 1-9.",Timing matters: The impact of label synchrony on infant categorisation
Label advantage in concept learning,"Balaban, M. T., & Waxman, S. R. (1997). Do words facilitate object categorization in 9-month-old infants?. Journal of experimental child psychology, 64(1), 3-26.",Do words facilitate object categorization in 9-month-old infants?
Label advantage in concept learning,"Deng, W. & Sloutsky, V. M. (2015). Linguistic labels, dynamic visual features, and attention in infant category learning. Journal of experimental child psychology, 134, 62-77.","Linguistic labels, dynamic visual features, and attention in infant category learning"
Label advantage in concept learning,"Ferguson, B., & Waxman, S. R. (2016). What the [beep]? Six-month-olds link novel communicative signals to meaning. Cognition, 146, 185-189.",What the [beep]? Six-month-olds link novel communicative signals to meaning
Label advantage in concept learning,"Ferry, A. L., Hespos, S. J., & Waxman, S. R. (2010). Categorization in 3-and 4-month-old infants: an advantage of words over tones. Child development, 81(2), 472-479.",Categorization in 3-and 4-month-old infants: an advantage of words over tones
Label advantage in concept learning,"Ferry, A. L., Hespos, S. J., & Waxman, S. R. (2013). Nonhuman primate vocalizations support categorization in very young human infants. Proceedings of the National Academy of Sciences, 110(38), 15231-15235.",Nonhuman primate vocalizations support categorization in very young human infants
Label advantage in concept learning,"Fulkerson, A. L., & Waxman, S. R. (2007). Words (but not tones) facilitate object categorization: Evidence from 6-and 12-month-olds. Cognition, 105(1), 218-228.",Words (but not tones) facilitate object categorization: Evidence from 6-and 12-month-olds
Label advantage in concept learning,"Robinson, C. W., & Sloutsky, V. M. (2007). Linguistic labels and categorization in infancy: do labels facilitate or hinder?. Infancy, 11(3), 233-253.",Linguistic labels and categorization in infancy: do labels facilitate or hinder?
Label advantage in concept learning,"Waxman, S. R. (1999). Specifying the scope of 13-month-olds' expectations for novel words. Cognition, 70(3), B35-B50.",Specifying the scope of 13-month-olds' expectations for novel words
Label advantage in concept learning,"Waxman, S. R., & Booth, A. E. (2001). Seeing pink elephants: Fourteen-month-olds' interpretations of novel nouns and adjectives. Cognitive psychology, 43(3), 217-242.",Seeing pink elephants: Fourteen-month-olds' interpretations of novel nouns and adjectives
Label advantage in concept learning,"Waxman, S. R., & Braun, I. (2005). Consistent (but not variable) names as invitations to form object categories: new evidence from 12-month-old infants.Cognition, 95(3), B59-B68.",Consistent (but not variable) names as invitations to form object categories: new evidence from 12-month-old infants
Label advantage in concept learning,"Booth, A. E., & Waxman, S. (2002). Object names and object functions serve as cues to categories for infants. Developmental psychology, 38(6), 948.",Object names and object functions serve as cues to categories for infants
Label advantage in concept learning,"Booth, A. E., & Waxman, S. R. (2003). Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives. Journal of Cognition and Development, 4(3), 357-381.",Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives
Label advantage in concept learning,"Waxman, S., & Booth, A. (2003). The origins and evolution of links between word learning and conceptual organization: new evidence from 11-month-olds.Developmental Science, 6(2), 128-135.",The origins and evolution of links between word learning and conceptual organization: new evidence from 11-month-olds
Label advantage in concept learning,"Fulkerson, A. L., & Haaf, R. A. (2003). The influence of labels, non-labeling sounds, and source of auditory input on 9-and 15-month-olds' object categorization. Infancy, 4(3), 349-369.","The influence of labels, non-labeling sounds, and source of auditory input on 9-and 15-month-olds' object categorization"
Label advantage in concept learning,"Fulkerson, A. L., & Haaf, R. A. (2006). Does object naming aid 12-month-olds' formation of novel object categories?. First Language, 26(4), 347-361.",Does object naming aid 12-month-olds' formation of novel object categories?
Vowel discrimination (native),"Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.",The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm
Vowel discrimination (native),"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.",The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life
Vowel discrimination (native),"Bosch, L., & Sebastian-Galles, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech 46(2-3), 217-243.",Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life
Vowel discrimination (native),"Sebastián-Gallés, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874–887.","Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874–887"
Vowel discrimination (native),"Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.",Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.
Vowel discrimination (native),"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead
Vowel discrimination (native),"Tsuji, S., Fikkert, P., Minagawa, Y., Dupoux, E., Filippin, L., Versteegh, M., Hagoort, P., & Cristia, A. (2017). The more, the better? Behavioral and neural correlates of frequent and infrequent vowel exposure. Developmental Psychobiology.","The more, the better? Behavioral and neural correlates of frequent and infrequent vowel exposure"
Vowel discrimination (native),"Versteegh, M., Tsuji, S., Fikkert, P., & Cristia, A. (2015, July 30). Adjudicating between auditory models using individual variation in infant vowel discrimination. Retrieved from osf.io/94xzr.",Adjudicating between auditory models using individual variation in infant vowel discrimination. Retrieved from osf.io/94xzr.
Vowel discrimination (native),"Bergmann, C., & Cristia, A. (2018). Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life. Infancy.",Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life
Vowel discrimination (native),"Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247.",Perception of vowel length by Japanese- and English-learning infants
Vowel discrimination (native),"Sato, Y., Sogabe, Y., & Mazuka, R. (2010). Discrimination of phonemic vowel length by Japanese infants. Developmental psychology, 46(1), 106-119.",Discrimination of phonemic vowel length by Japanese infants
Vowel discrimination (native),"Minagawa-Kawai, Y., Mori, K., Naoi, N., & Koijima, S. (2007). Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast. The Journal of Neuroscience, 27(2), 315–321.",Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast
Vowel discrimination (native),"Minagawa-Kawai, Y., Naoi, N., Nishijima, N., Kojima, S., & Dupoux, E. (2007). Developmental Changes in Cerebral Responses to Native and Non-Native Vowels: A NIRS Study]. Proceedings of the International Conference of Phonetic Sciences XVI.",Developmental Changes in Cerebral Responses to Native and Non-Native Vowels: A NIRS Study]
Vowel discrimination (native),"Sato, Y., Mori, K., Furuya, I., Hayashi, R., Minagawa-Kawai, Y., & Koizumi, T. (2003). Developmental changes in cerebral lateralization to spoken language in infants: measured by near-infrared spectroscopy. Jpn J Logoped Phoniatr, 44,165–171.",Developmental changes in cerebral lateralization to spoken language in infants: measured by near-infrared spectroscopy
Vowel discrimination (native),"Mulak KE, Bonn CD, Chládková K, Aslin RN, Escudero P (2017) Indexical and linguistic processing by 12-month-olds: Discrimination of speaker, accent and vowel differences. PLOS ONE 12(5)","Indexical and linguistic processing by 12-month-olds: Discrimination of speaker, accent and vowel differences"
Vowel discrimination (native),"Phan, J., & Houston, D. M. (2009). Infant Dialect Discrimination. The Journal of the Acoustical Society of America 125, 2776.",Infant Dialect Discrimination
Vowel discrimination (native),"Sundara, M., & Scutellaro, A. (2011). Rhythmic distance between languages affects the development of speech perception in bilingual infants. Journal of Phonetics 39(4), 505-513",Rhythmic distance between languages affects the development of speech perception in bilingual infants
Vowel discrimination (native),"Kuhl, P K. (1979). Speech perception in early infancy: perceptual constancy for spectrally dissimilar vowel categories. The Journal of the Acoustical Society of America, 66(6), 1668–1679.",Speech perception in early infancy: perceptual constancy for spectrally dissimilar vowel categories
Vowel discrimination (native),"Marean, G., Werner, L., & Kuhl, P. (1992). Vowel categorization by very young infants. Developmental Psychology, 28(3), 396-405.",Vowel categorization by very young infants
Vowel discrimination (native),"Cowan, N., Suomi, K. & Morse, P. A. (1982). Echoic storage in infant perception. Child Development, 53(4), 984-990.",Echoic storage in infant perception
Vowel discrimination (native),"Jusczyk, P. W., & Derrah, C. (1987). Representation of Speech Sounds by Young Infants. Developmental Psychology, 23(5), 648-654.",Representation of Speech Sounds by Young Infants
Vowel discrimination (native),"Kuhl, P.K., & Miller, J.D. (1982). Discrimination of auditory target dimensions in the presence or absence of variation in a second dimension by infants. Perception & Psychophysics 31(3), 279-292.",Discrimination of auditory target dimensions in the presence or absence of variation in a second dimension by infants
Vowel discrimination (native),"Miller, J. L., & Eimas, P. D. (1979). Organization in infant speech perception. Canadian journal of psychology, 33(4), 353-367.",Organization in infant speech perception
Vowel discrimination (native),"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.","Target spectral, dynamic spectral, and duration cues in infant perception of German vowels"
Vowel discrimination (native),"Polka, Linda, & Bohn, O.-S. (2011). Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development. Journal of Phonetics, 39(4), 467–478.",Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development
Vowel discrimination (native),"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminación fonética de un contraste vocálico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",Capacidades de discriminación fonética de un contraste vocálico nativo en el prematuro
Vowel discrimination (native),"Cheour, M., Alho, K., Ceponiene, R., Reinikainen, K., Sainio, K., Pohjavuori, M., Aaltonen, O., & Naatanen, R. (1998). Maturation of mismatch negativity in infants. International Journal of Psychophysiology 29, 217-226.",Maturation of mismatch negativity in infants
Vowel discrimination (native),"Jansson-Verkalo, E., Ruusuvirta, T., Huotilainen, M., Alku, P., Kushnerenko, E., Suominen, K., Rytky, S., Luotonen, M., Kaukola, T., Tolonen, U., Hallman, M., (2010). Atypical perceptual narrowing in prematurely born infants is associated with compromised language acquisition at 2 years of age. BMC Neuroscience, 11-88.",Atypical perceptual narrowing in prematurely born infants is associated with compromised language acquisition at 2 years of age
Vowel discrimination (native),"Trehub, S. E. (1973). Infants Sensitivity to Vowel and Tonal Contrasts. Developmental Psychology, 9(1), 91-96.",Infants Sensitivity to Vowel and Tonal Contrasts
Vowel discrimination (native),"Trainor, L. J., & Desjardins, R. N. (2002). Pitch characteristics of infant-directed speech affect infants’ ability to discriminate vowels. Psychonomic Bulletin & Review, 9(2), 335–340.",Pitch characteristics of infant-directed speech affect infants’ ability to discriminate vowels
