af_id,af_name,af_country,af_city,af_state,af_type,af_postal,lon,lat
60026851,University of Oxford,United Kingdom,Oxford,Oxfordshire,univ,OX1 2JD,-1.2543668,51.7548164
60003500,The Ohio State University,United States,Columbus,OH,univ,43210-1132,-83.0304546,40.0066723
60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001,-87.67526699999999,42.0564594
60012227,Scuola Internazionale Superiore di Studi Avanzati,Italy,Trieste,TS,univ,34136,13.7750631,45.6798011
60021624,The University of Toledo,United States,Toledo,OH,univ,43606-3390,-83.6142374,41.6578804
60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007,2.1638661,41.38667239999999
60032942,Universitat Pompeu Fabra Barcelona,Spain,Barcelona,Barcelona,univ,08002,2.1797944,41.37896689999999
60009391,Utrecht Institute of Linguistics OTS,Netherlands,Utrecht,NA,resi,3512 JK,5.1230458,52.0938361
60008134,CNRS Centre National de la Recherche Scientifique,France,Paris,NA,resi,75794,2.2639934,48.8476037
60024516,Max Planck Institute for Psycholinguistics,Netherlands,Nijmegen,Gelderland,resi,6525 XD,5.8570934,51.81799340000001
60025555,Nippon Telegraph and Telephone Corporation,Japan,Tokyo,NA,comp,100-8116,NA,NA
60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4,-123.2459939,49.26060520000001
60020829,RIKEN Center for Brain Science,Japan,Wako,Saitama,resi,351-0198,139.612838,35.7791208
60008724,Duke University,United States,Durham,NC,univ,27705-3191,-78.9382286,36.0014258
60025997,Keio University,Japan,Tokyo,NA,univ,108-8345,139.7429376,35.6489643
60015682,Japan Science and Technology Agency,Japan,Kawaguchi,Saitama,resi,332-0012,139.7197809,35.8010655
60022148,University College London,United Kingdom,London,NA,univ,WC1E 6BT,-0.1340401,51.52455920000001
60092959,National Rehabilitation Center for Persons with Disabilities,Japan,Tokorozawa,Saitama,hosp,359-8555,139.464694,35.805904
60107806,"The MARCS Institute for Brain, Behaviour and Development",Australia,Bankstown,NSW,resi,2214,150.9873898,-33.8066614
60017803,Western Sydney University,Australia,Penrith,NSW,univ,2751,NA,NA
60027165,University of Rochester,United States,Rochester,NY,univ,14627-9000,-77.6260033,43.1305531
60210214,Integrative Neuroscience and Cognition Center,France,Paris,Ile-de-France,resi,75006,NA,NA
60002483,Universiteit van Amsterdam,Netherlands,Amsterdam,Noord-Holland,univ,1012 WX,4.955726299999999,52.35581819999999
60008042,Universität Leipzig,Germany,Leipzig,Sachsen,univ,4109,12.3784615,51.3385738
60027550,"University of California, Los Angeles",United States,Los Angeles,CA,univ,90095-9000,-118.4451811,34.068921
60006297,University of Pennsylvania,United States,Philadelphia,PA,univ,19104-6303,-75.1932137,39.9522188
60015481,University of Washington,United States,Seattle,WA,univ,98195-9505,NA,NA
60105775,Laboratoire de Sciences Cognitives et Psycholinguistique,France,Paris,Ile-de-France,resi,75005,NA,NA
60012317,University of Oregon,United States,Eugene,OR,univ,97403-1657,-123.0726055,44.0448302
60015913,Dalhousie University,Canada,Halifax,NS,univ,B3H 4R2,-63.59165549999999,44.63658119999999
60016478,Central Institute for the Deaf - St. Louis,United States,St. Louis,MO,resi,63110,-90.26174669999999,38.6326233
60011460,Brown University,United States,Providence,RI,univ,02912-0001,-71.4025482,41.8267718
60028628,Northeastern University,United States,Boston,MA,univ,02115-5000,-71.0891717,42.3398067
60029616,Aarhus Universitet,Denmark,Aarhus,Midtjylland,univ,8000,10.2030118,56.1681384
60002494,Université McGill,Canada,Montreal,QC,univ,H3A 0G4,-73.5771511,45.50478469999999
60025187,Eötvös Loránd Tudományegyetem,Hungary,Budapest,NA,univ,1053,19.0585445,47.4905698
60027811,Magyar Tudomanyos Akademia,Hungary,Budapest,Budapest,resi,1051,NA,NA
60024812,Semmelweis Egyetem,Hungary,Budapest,NA,univ,1085,19.0673349,47.4873502
60002388,Albert Einstein College of Medicine of Yeshiva University,United States,New York,NY,resi,10461-1975,-73.8459022,40.8504961
60002952,Helsingin Yliopisto,Finland,Helsinki,Uusimaa,univ,00014,24.9510419,60.1726348
60006876,Turun yliopisto,Finland,Turku,Southwest Finland,univ,20014,22.2851138,60.4562974
60012954,Oulun Yliopisto,Finland,Oulu,North Ostrobothnia,univ,90570,25.4662935,65.0593177
60016622,Oulu University Hospital,Finland,Oulu,NA,hosp,90220,25.5179525,65.00696529999999
60032398,University of Jyväskylä,Finland,Jyvaskyla,Central Finland,univ,40014,25.7316335,62.23653170000001
60103653,Aalto University,Finland,Espoo,Uusimaa,univ,02150,24.827682,60.1866693
100368375,School of Psychology,United Kingdom,Exeter,NA,NA,EX4 4QG,NA,NA
60016849,University of Toronto,Canada,Toronto,ON,univ,M5S 1A1,-79.3831843,43.653226
60031828,McMaster University,Canada,Hamilton,ON,univ,L8S 4L8,-79.9192254,43.260879
60002337,State University of New York System,United States,Albany,NY,univ,12246,NA,NA
60016529,Radboud Universiteit,Netherlands,Nijmegen,Gelderland,univ,6525 XZ,5.863818699999999,51.8220189
60122558,International Max Planck Research School for Language Sciences,Netherlands,Nijmegen,Gelderland,resi,6525 XD,NA,NA
60005429,National Taiwan University,Taiwan,Taipei,NA,univ,10617,121.5397518,25.0173405
60022637,National Taiwan Normal University,Taiwan,Taipei,NA,univ,106,121.5275484,25.0260878
60021519,University of Miami Leonard M. Miller School of Medicine,United States,Miami,FL,meds,33136-1015,-80.21199279999999,25.7904064
60032179,University of Wisconsin-Madison,United States,Madison,WI,univ,53715-1007,-89.4124875,43.076592
60015574,"The University of Tennessee, Knoxville",United States,Knoxville,TN,univ,37996-0001,-83.92945639999999,35.9544013
60005248,Johns Hopkins University,United States,Baltimore,MD,univ,21218-2680,-76.6205177,39.3299013
60009254,Purdue University,United States,West Lafayette,IN,univ,47907-2040,-86.92119459999999,40.4237054
60014455,Waisman Center,United States,Madison,WI,resi,53705-2280,-89.43307659999999,43.0785995
60106288,Neuroimagerie Cognitive,France,Gif-sur-Yvette,Ile-de-France,resi,"91191, Cedex",NA,NA
60007816,Commissariat a l'Energie Atomique et aux Energies Alternatives,France,Gif-sur-Yvette,NA,resi,91191,2.2739549,48.839904
60106017,Université Paris-Saclay,France,Gif-sur-Yvette,Ile-de-France,univ,91190,2.1666978,48.7098718
60029681,Pontificia Universidad Católica de Chile,Chile,Santiago,RM,univ,NA,-70.6399544,-33.44180680000001
60024690,University of Ferrara,Italy,Ferrara,FE,univ,44121,11.6262692,44.8334299
60021508,University of Notre Dame,United States,Notre Dame,IN,univ,NA,-86.2353388,41.7055716
60014439,"University of California, Davis",United States,Davis,CA,univ,95616-5270,-121.7617125,38.5382322
60027950,Carnegie Mellon University,United States,Pittsburgh,PA,univ,15213-3890,-79.9428499,40.4432027
60003269,Princeton University,United States,Princeton,NJ,univ,08540-7106,-74.65507389999999,40.3430942
60027627,San Francisco State University,United States,San Francisco,CA,univ,94132-1740,-122.4799405,37.7241492
60005510,Nanyang Technological University,Singapore,Singapore City,NA,univ,639798,103.6831347,1.3483099
60006240,University of Ulsan College of Medicine,South Korea,Seoul,NA,meds,05505,129.2562843,35.5437411
60028178,Hanshin University,South Korea,Osan,Gyeonggi-do,univ,447-791,127.0225987,37.1933281
60123796,Université Paris Cité,France,Paris,Ile-de-France,univ,75006,2.3318562,48.8555259
60018491,Simon Fraser University,Canada,Burnaby,BC,univ,V5A 1S6,-122.9198833,49.2780937
60031810,Université de Bourgogne,France,Dijon,Bourgogne-Franche-Comte,univ,"21078, cedex",5.0713319,47.3119618
60009016,"Birkbeck, University of London",United Kingdom,London,NA,univ,WC1E 7HX,-0.1303146,51.5218563
60012708,Stanford University,United States,Palo Alto,CA,univ,94305,-122.169719,37.4274745
60022195,Massachusetts Institute of Technology,United States,Cambridge,MA,univ,02139-4301,-71.09416,42.360091
