unique_row,study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r,d,d_var,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,special_cases_measures,x_dif,SD_dif,contrast_sampa,audio_condition,speaker,speech_type,object_stimulus,cue_type,N_AFC,mean_comprehension_vocab,mean_production_vocab,pointing_modality,motive,correlation_type,condition_type,stimulus_naturalness,contrast_pseudoIPA,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,F1_1,F2_1,F1_2,F2_2,duration_word_1,duration_word_2,duration_vowel_1,duration_vowel_2,peripherality,Linguistic,words_to_passage,edge_alignment,familiarization_voice,familiarization_register,familiarization_affect,test_voice,test_register,indexical,rule.type,repetitions,types,tokens,expt_condition2,word_round,word_spiky,multiple_age_groups_younger_older,replication,native,label_present,instruction_code,taxonomic_type,tokens_per_trial,word_types_per_cond,publication_type,main_or_baseline_study,Modality,Semantics,TrainingRule,Speech,Nonspeech,CorrectPronunciation,Mispronunciation,is_correct,n_feature,type_feature,mispron_location,scenarios,Hamlin_Lab,stimuli_type,minimal_pairs,cues_present,word_typicality,ME_trial_type,preceding,task_difficulty,median_production_vocab,sentence_structure,agent_argument_type,patient_argument_type,stimuli_modality,stimuli_actor,transitive_event,intransitive_event,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,learning_domain,live_video,task,rhythm_class,speech_manip,percentV,deltaC,deltaV,VarcoV,nPVI_V,rPVI_C,corr_imputed,dataset,short_name,domain,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method,mean_age,n,same_infant_calc,all_mod,mean_age_months,year
1,Cooper1990,"Cooper, R. P. & Aslin, N. R. (1990). Preference for Infant-directed Speech in the First Month after Birth. Child Development. 61(5), 1584-1595. DOI:10.1111/j.1467-8624.1990.tb02885.x",Cooper & Aslin (1990),yes,Alex Cristia,1,NA,1,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,12,NA,34,NA,33.6,21.4,19.8,15.3,NA,NA,NA,0.72,0.1774666667,NA,native,NA,NA,NA,NA,6,NA,0.583333333,NA,NA,NA,NA,NA,NA,NA,Unfamiliar mother,Simulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,Infant directed speech preference,idspref,early_language,0.6895131800095373,0.0914761843919527,0.6377996915088221,0.07826931027036453,0.3259306960727928,0.01632766856569347,0.33826848676538884,0.1111111111111111,1.2506385675324123,0.300944584023226,group_means_two,34,12,Cooper1990 1,NA,1.117066058851311,1990
2,Cooper1990,"Cooper, R. P. & Aslin, N. R. (1990). Preference for Infant-directed Speech in the First Month after Birth. Child Development. 61(5), 1584-1595. DOI:10.1111/j.1467-8624.1990.tb02885.x",Cooper & Aslin (1990),yes,Alex Cristia,2,NA,2,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,16,NA,2,NA,18.3,13.9,6.6,4.3,NA,NA,NA,0.72,0.1331,NA,native,NA,NA,1.2,NA,24,NA,0.4375,NA,NA,NA,NA,NA,NA,NA,Unfamiliar mother,Simulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521,Infant directed speech preference,idspref,early_language,0.7899448669548809,0.07937540290088639,0.7476263919394408,0.07109869475401462,0.36735610632279125,0.01284543501577299,0.3853633051258578,0.07692307692307693,1.432801497462847,0.2611346086029431,group_means_two,2,16,Cooper1990 2,NA,0.06570976816772418,1990
3,Cooper1994,"Cooper, R. P. & Aslin, N. R. (1994). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),yes,Alex Cristia,1,NA,1,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,12,NA,35,NA,30.4,31,17.6,13.1,NA,NA,NA,-0.04,0.1667,NA,native,NA,NA,NA,NA,9,NA,0.666666667,NA,NA,NA,NA,NA,NA,NA,Unfamiliar mother,Filtered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837,Infant directed speech preference,idspref,early_language,-0.03867468079537439,0.02722898878894267,-0.03577407973572132,0.02329780353253908,-0.01933372597903943,0.00679961654698725,-0.01933613545633854,0.1111111111111111,-0.0701481114386114,0.08957978252952048,group_means_two,35,12,Cooper1994 1,NA,1.149920942935173,1994
4,Cooper1994,"Cooper, R. P. & Aslin, N. R. (1994). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),yes,Alex Cristia,2,NA,2,eye-tracking,test_only,central fixation,looking_time,between,American English,typical,IDS,ADS,10,10,35,35,38.6,33.4,NA,NA,0.57,NA,NA,0.27,0.2018225,NA,native,NA,NA,NA,NA,30,NA,0.55,NA,3,NA,NA,NA,NA,NA,Unfamiliar mother,Filtered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,Infant directed speech preference,idspref,early_language,0.254911749434976,0.2016245,0.2436656428422565,0.18422653817041523,0.12643305936720836,0.04802728610976488,0.12711328648050313,0.14285714285714285,0.46235876906099177,0.6633180175224804,between,35,10,Cooper1994 2,NA,1.149920942935173,1994
5,Cooper1994,"Cooper, R. P. & Aslin, N. R. (1994). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),yes,Alex Cristia,3,IDS_first,3_IDS_first,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,10,NA,35,NA,44.6,25.7,19.9,8.2,NA,NA,NA,1.24,0.23844,NA,native,NA,NA,NA,NA,11,NA,0.4,NA,NA,NA,NA,NA,NA,NA,Unfamiliar mother,Filtered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,Infant directed speech preference,idspref,early_language,1.2418498466216583,0.16310955207771183,1.125426423500878,0.13396009111069887,0.527507139590012,0.01533044995330413,0.5866848642473084,0.14285714285714285,2.2524664622767254,0.5366089176819662,group_means_two,35,10,Cooper1994 3_IDS_first,NA,1.149920942935173,1994
6,Cooper1994,"Cooper, R. P. & Aslin, N. R. (1994). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),yes,Alex Cristia,3,ADS_first,3_ADS_first,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,10,NA,35,NA,23.1,27.4,12.6,17.7,NA,NA,NA,-0.28,0.20196,NA,native,NA,NA,NA,NA,11,NA,0.4,NA,NA,NA,NA,NA,NA,NA,Unfamiliar mother,Filtered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,Infant directed speech preference,idspref,early_language,-0.2798913342484817,0.05591695794936977,-0.25365152166268656,0.04592398597208982,-0.13859507019431783,0.01318904958807694,-0.13949284559009423,0.14285714285714285,-0.5076667241145632,0.18395941809087615,group_means_two,35,10,Cooper1994 3_ADS_first,NA,1.149920942935173,1994
7,Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),yes,Alex Cristia,1,NA,1,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,20,NA,38.7,NA,30.6,36.3,13.37,17.93,NA,NA,NA,-0.36,0.10162,NA,native,NA,NA,NA,NA,22,NA,0.4,NA,10,NA,NA,NA,NA,NA,Child’s mother,Naturalistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837,Infant directed speech preference,idspref,early_language,-0.36041251604643065,0.01954742954307296,-0.3453953278778294,0.01795241359077361,-0.1773496127606109,0.00444009150410618,-0.1792448963893929,0.0588235294117647,-0.6537159924670707,0.06430846554943236,group_means_two,38.7,20,Cooper1997 1,NA,1.271484014045463,1997
8,Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),yes,Alex Cristia,2,NA,2,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,20,NA,42.7,NA,34.25,24.82,25.04,16.32,NA,NA,NA,0.45,0.10253125,NA,native,NA,NA,NA,NA,19,NA,0.2,NA,10,NA,NA,NA,NA,NA,Unfamiliar mother,Naturalistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,Infant directed speech preference,idspref,early_language,0.44618742687558094,0.0219770804975463,0.4275962840890984,0.02018381177639235,0.2177409368673469,0.00474926645467121,0.2212833808370591,0.0588235294117647,0.8092944711962302,0.07230169680055935,group_means_two,42.7,20,Cooper1997 2,NA,1.4029035503809113,1997
9,Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),yes,Alex Cristia,3,NA,3,eye-tracking,test_only,central fixation,looking_time,within_two,American English,typical,NA,NA,23,NA,126,NA,23.72,19.9,12.76,9.69,NA,NA,NA,0.34,0.08821304348,NA,native,NA,NA,NA,NA,6,NA,0.47826087,NA,10,NA,NA,NA,NA,NA,Child’s mother,Naturalistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558,Infant directed speech preference,idspref,early_language,0.3371738132826634,0.04090622131225157,0.3251318913797111,0.03803652466407066,0.16624104444732957,0.00940190531471543,0.16779836736844386,0.05,0.6115656481685218,0.13457607396511115,group_means_two,126,23,Cooper1997 3,NA,4.139715394566624,1997
10,Droucker2013,"Droucker, D., Curtin, S. & Vouloumanos, A. (2013). Linking Infant-Directed Speech and Face Preferences to Language Outcomes in Infants at Risk for Autism Spectrum Disorder. Journal of Speech, Language and Hearing Research. 56, 567-576.",Droucker et al. (2013),yes,Martin Zettersten,1,sampleA_6mos,1,eye-tracking,test_only,central fixation,looking_time,within_two,Canadian English,typical,NA,NA,22,NA,183,NA,19.21,17.74,4.45,5.71,1.44,NA,0.3,NA,NA,0.576,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unfamiliar female,Simulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576,Infant directed speech preference,idspref,early_language,0.28717017987250104,0.04041969800472738,0.27640129812728226,0.03744506085469198,0.14212746633907436,0.00950484612153593,0.14309623723088546,0.05263157894736842,0.5208690896797684,0.1329754764393867,group_means_two,183,22,Droucker2013 1,NA,6.012443787346762,2013
