ds_clean,native_lang,infant_type,infant_type_clincal,infant_type_language,infant_native_lang,response_mode,method,dependent_measure,looking,behavioral_measure,...12,unique_row,study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,exposure_phase,participant_design,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,special_cases_measures,x_dif,SD_dif,contrast_sampa,audio_condition,speaker,speech_type,object_stimulus,cue_type,N_AFC,mean_comprehension_vocab,mean_production_vocab,pointing_modality,motive,correlation_type,condition_type,stimulus_naturalness,contrast_pseudoIPA,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,F1_1,F2_1,F1_2,F2_2,duration_word_1,duration_word_2,duration_vowel_1,duration_vowel_2,peripherality,Linguistic,words_to_passage,edge_alignment,familiarization_voice,familiarization_register,familiarization_affect,test_voice,test_register,indexical,rule.type,repetitions,types,tokens,expt_condition2,word_round,word_spiky,multiple_age_groups_younger_older,replication,native,label_present,instruction_code,taxonomic_type,tokens_per_trial,word_types_per_cond,publication_type,main_or_baseline_study,Modality,Semantics,TrainingRule,Speech,Nonspeech,CorrectPronunciation,Mispronunciation,is_correct,n_feature,type_feature,mispron_location,scenarios,Hamlin_Lab,stimuli_type,minimal_pairs,cues_present,word_typicality,ME_trial_type,preceding,task_difficulty,median_production_vocab,sentence_structure,agent_argument_type,patient_argument_type,stimuli_modality,stimuli_actor,transitive_event,intransitive_event,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,learning_domain,live_video,task,rhythm_class,speech_manip,percentV,deltaC,deltaV,VarcoV,nPVI_V,rPVI_C,corr_imputed,dataset,short_name,domain,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method,mean_age,n,same_infant_calc,all_mod,mean_age_months,year,doi,original_ma,2nd coder,stimulus_set,lab,main_question_IDS_preference,trial_control,human_coded,data_from_figure,effect_significance_reported,fussers,non_criterion,criterion,criterion_definition,exclusionCriteria,num_minimum_trials,mean_vocab,speaker_fam,speaker_experience,speaker_female,presentation,setting,Coder 1 Comments,Coder 2 Comments
Audio-Visual Congruence,German,typical,typical,monolingual,NA,eye-tracking,looking while listening,looking_time_pc,yes,looking,NA,88,Altvater-Mackensen et al. (2016),"Altvater-Mackensen, N., Mani, N., & Grossmann, T. (2016). Audiovisual speech perception in infancy: The influence of vowel identity and infants’ productive abilities on sensitivity to (mis)matches between auditory and visual speech cues. Developmental Psychology, 52(2), 191–204. https://doi.org/10.1037/a0039964.",Altvater-Mackensen2016,yes,CC,1,1,1,familiarization,within_one,NA,NA,44,44,175.2,175.2,NA,NA,NA,NA,NA,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.625,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.22586826,0.023307005,0.221834898,0.022482044,0.112220759,0.005609374,0.112695435,0.024390244,0.409679706,0.076676974,d_one,175.2,44,Altvater-Mackensen et al. (2016) NA,NA,5.756175691,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,first-look_duration,yes,looking,NA,68,Lewkowicz & Pons (2013),"Lewkowicz, D. J., & Pons, F. (2013). Recognition of amodal language identity emerges in infancy. International Journal of Behavioral Development, 37(2), 90–94. https://doi.org/10.1177/01650 25412 467582.",Lewkowicz2013,yes,CC,1,6m_Spanish_familiarization,2,familiarization,within_one,NA,NA,96,96,213.1,213.1,NA,NA,NA,NA,0.94,NA,NA,NA,non-native,passage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.095938348,0.010464605,0.095172883,0.010298283,0.04791408,0.002598174,0.047950797,0.010752688,0.174012915,0.034427171,t_one,213.1,96,Lewkowicz & Pons (2013) NA,NA,7.001375798,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,first-look_duration,yes,looking,NA,69,Lewkowicz & Pons (2013),"Lewkowicz, D. J., & Pons, F. (2013). Recognition of amodal language identity emerges in infancy. International Journal of Behavioral Development, 37(2), 90–94. https://doi.org/10.1177/01650 25412 467582.",Lewkowicz2013,yes,CC,1,8m_Spanish_familiarization,3,familiarization,within_one,NA,NA,96,96,340.8,340.8,NA,NA,NA,NA,0.92,NA,NA,NA,non-native,passage,NA,NA,NA,NA,NA,0.46,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.093897107,0.010462587,0.093147928,0.010296297,0.046896898,0.002598427,0.046931323,0.010752688,0.170310513,0.034420531,t_one,340.8,96,Lewkowicz & Pons (2013) NA,NA,11.1969445,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,first-look_duration,yes,looking,NA,70,Lewkowicz & Pons (2013),"Lewkowicz, D. J., & Pons, F. (2013). Recognition of amodal language identity emerges in infancy. International Journal of Behavioral Development, 37(2), 90–94. https://doi.org/10.1177/01650 25412 467582.",Lewkowicz2013,yes,CC,1,6m_English_familiarization,4,familiarization,within_one,NA,NA,96,96,213.1,213.1,NA,NA,NA,NA,1.36,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.49,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.138804419,0.010517014,0.137696937,0.010349859,0.069235667,0.002591624,0.069346615,0.010752688,0.251763366,0.034599589,t_one,213.1,96,Lewkowicz & Pons (2013) NA,NA,7.001375798,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,first-look_duration,yes,looking,NA,71,Lewkowicz & Pons (2013),"Lewkowicz, D. J., & Pons, F. (2013). Recognition of amodal language identity emerges in infancy. International Journal of Behavioral Development, 37(2), 90–94. https://doi.org/10.1177/01650 25412 467582.",Lewkowicz2013,yes,CC,1,8m_English_familiarization,5,familiarization,within_one,NA,NA,96,96,340.8,340.8,NA,NA,NA,NA,0.56,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.46,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.057154761,0.010433681,0.056698739,0.01026785,0.028565718,0.00260204,0.028573492,0.010752688,0.103667269,0.034325433,t_one,340.8,96,Lewkowicz & Pons (2013) NA,NA,11.1969445,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,looking_time_pc,yes,looking,NA,35,Walker-Andrews et al. (1991),"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants’ bimodal perception of gender. Ecological Psychology, 3(2), 55–75. https://doi.org/10.1207/s1532 6969e co0302_1.",Walker-Andrews1991,yes,CC,1,Trial_one_to_eight,6,test_only,within_one,NA,NA,16,16,129.4,129.4,0.526,0.5,0.29,NA,NA,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.089655172,0.062751189,0.084852217,0.056207937,0.044782613,0.015593602,0.044812586,0.076923077,0.162616495,0.206443137,group_means_one,129.4,16,Walker-Andrews et al. (1991) NA,NA,4.251422,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,looking_time_pc,yes,looking,NA,36,Walker-Andrews et al. (1991),"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants’ bimodal perception of gender. Ecological Psychology, 3(2), 55–75. https://doi.org/10.1207/s1532 6969e co0302_1.",Walker-Andrews1991,yes,CC,1,Trial_nine_to_sixteen,6,test_only,within_one,NA,NA,16,16,129.4,129.4,0.636,0.5,0.25,NA,NA,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.544,0.071748,0.514857143,0.064266624,0.262464154,0.014479594,0.268753038,0.076923077,0.986706854,0.236041459,group_means_one,129.4,16,Walker-Andrews et al. (1991) NA,NA,4.251422,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,looking_time_pc,yes,looking,NA,37,Walker-Andrews et al. (1991),"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants’ bimodal perception of gender. Ecological Psychology, 3(2), 55–75. https://doi.org/10.1207/s1532 6969e co0302_1.",Walker-Andrews1991,yes,CC,1,Trial_one_to_eight,7,test_only,within_one,NA,NA,16,16,179.1,179.1,0.523,0.5,0.22,NA,NA,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.104545455,0.062841555,0.098944805,0.05628888,0.052201457,0.015582306,0.052248951,0.076923077,0.189624479,0.206740428,group_means_one,179.1,16,Walker-Andrews et al. (1991) NA,NA,5.884309739,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,looking_time_pc,yes,looking,NA,38,Walker-Andrews et al. (1991),"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants’ bimodal perception of gender. Ecological Psychology, 3(2), 55–75. https://doi.org/10.1207/s1532 6969e co0302_1.",Walker-Andrews1991,yes,CC,1,Trial_nine_to_sixteen,7,test_only,within_one,NA,NA,16,16,179.1,179.1,0.642,0.5,0.2,NA,NA,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.58,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.71,0.078253125,0.671964286,0.07009344,0.334544841,0.01370243,0.347937156,0.076923077,1.287797549,0.257442462,group_means_one,179.1,16,Walker-Andrews et al. (1991) NA,NA,5.884309739,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audio-Visual Congruence,English,typical,typical,monolingual,NA,eye-tracking,looking while listening,looking_time_pc,yes,looking,NA,39,Walker-Andrews et al. (1991),"Walker-Andrews, A. S., Bahrick, L. E., Raglioni, S. S., & Diaz, I. (1991). Infants’ bimodal perception of gender. Ecological Psychology, 3(2), 55–75. https://doi.org/10.1207/s1532 6969e co0302_1.",Walker-Andrews1991,yes,CC,2,Trial_one_to_eight,8,test_only,within_one,NA,NA,24,24,106.6,106.6,0.512,0.5,0.11,NA,NA,NA,NA,NA,native,passage,NA,NA,NA,NA,NA,0.58,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audio-Visual Congruence,audiovisual_congruence,early_language,0.109090909,0.041914601,0.105371901,0.0391055,0.054464493,0.010385675,0.054518443,0.047619048,0.197869022,0.137893509,group_means_one,106.6,24,Walker-Andrews et al. (1991) NA,NA,3.502330643,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
