study_ID,long_cite,short_cite,doi,peer_reviewed,coder1,coder2,expt_num,expt_condition,same_infant,response_mode,task,exposure_phase,method,dependent_measure,participant_design,native_lang1,native_lang2,test_lang1,percentV_tl1,deltaC_tl1,deltaV_tl1,VarcoC_tl1,VarcoV_tl1,nPVI-C_tl1,nPVI-V_tl1,nPVI-CV_tl1,rPVI-C_tl1,rPVI-V_tl1,rPVI-CV_tl1,nFinalC_tl1,nFinalV_tl1,nFinalCV_tl1,speechrate_tl1,test_lang2,percentV_tl2,deltaC_tl2,deltaV_tl2,VarcoC_tl2,VarcoV_tl2,nPVI-C_tl2,nPVI-V_tl2,nPVI-CV_tl2,rPVI-C_tl2,rPVI-V_tl2,rPVI-CV_tl2,nFinalC_tl2,nFinalV_tl2,nFinalCV_tl2,speechrate_tl2,test_lang_lab,rhythm_contrast,native_lang,native_accent,same_lang,rhythm_class,speech_manip,speech_manip_specific,trial_control,num_trials,infant_type,modality,same_speaker,register,group_name_1,group_name_2,n_1,n_2,n_excluded_1,n_excluded_2,mean_age_1,age_range_1,mean_age_2,age_range_2,gender_1,gender_2,x_1,x_2,SD_1,SD_2,corr,r,t,F,d,d_var,g,g_SE,p_val_reported,all_null,imprecise,source_of_data,source_of_durational_metrics,stimuli_link,paper_link,data_link,comments,controlled for speech rate?
bahrick88,"Bahrick, L. E., & Pickens, J. N. (1988). Classification of bimodal English and Spanish language passages by infants. Infant Behavior and Development, 11(3), 277-296. https://doi.org/10.1016/0163-6383(88)90014-8",Bahrick & Pickens (1988),10.1016/0163-6383(88)90014-8,yes,LG,,1,1,1,behavior,discrim,habituation,CF,looking_time,between,"American English (Miami, Florida)",Latin American Spanish (n=22),Miami Hispanic English (early bilingual),49.32,55.2,,,,,,,,,,,,,,Cuban Spanish,42.71,48.615,,,,,40.685,,,,,,,,,EnAmMihis-SpCu,between_forclassforeigns,,,lang,diff,none,none,infant_all,5,typical (n=26); bilingual (n=22),audiovisual,same,,passage_switch,language_switch,16,16,14.5,14.5,163.6,17.2,163.6,17.2,,,7.500,13.400,,,,,1.910,,,,,,"<0.05, one-tailed",,Y,paper,,,https://drive.google.com/file/d/139IFgHu7AFAjTX7gydOlOopqIegBoB0z/view?usp=sharing,,conflates monolingual and bilingual infants,yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,1,catalan,catalan_1,behavior,pref,test_only,HPP,orientation_time,within_two,Central Catalan/Castilian Spanish,,Central Catalan/Castilian Spanish,47.665,32.60595,28.02819,47.01,37.58111,,37.13903,,56.45,27.7815,,,,,,American English,49.61284,57.02825,56.82514,57.74966,55.2508,,58.54845,,67.53651,,,,,,5.7346,CaCe/SpCs-EnAm,native_forclassforeign,yesno,yesno,lang,diff,none,none,fixed,28,typical,audio,same,IDS,test_lang1,test_lang2,10,,5,,129,24,,,,,1.054,1.294,0.572,0.153,,,4.620,,,,,,<0.001,,Y,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,conflates native_lang1 and test_lang1 Catalan (n=5) and Spanish (n=5),yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,2,catalan,catalan_2,behavior,pref,test_only,HPP,orientation_time,within_two,Catalan,,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,CaCe-SpCs,native_natclassforeign,yesno,yesno,lang,same,none,none,fixed,28,typical,audio,same,IDS,test_lang1,test_lang2,10,,3.5,,126,20,,,,,1.173,1.344,0.189,0.343,,,2.265,,,,,,<0.05,,,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,reversed t sign,yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,2,spanish,spanish_2,behavior,pref,test_only,HPP,orientation_time,within_two,Spanish,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,SpCs-CaCe,native_natclassforeign,yesno,yesno,lang,same,none,none,fixed,28,typical,audio,same,IDS,test_lang1,test_lang2,10,,3.5,,128,20,,,,,1.164,1.320,0.372,0.442,,,3.789,,,,,,<0.004,,,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,,yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,3,catalan,catalan_3,behavior,pref,test_only,HPP,orientation_time,within_two,Catalan,,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,CaCe-SpCs,native_natclassforeign,yesno,yesno,lang,same,segmental,lpf,fixed,28,typical,audio,same,IDS,test_lang1,test_lang2,10,,4.5,,125,17,,,,,1.302,1.393,0.378,0.363,,,2.877,,,,,,<0.018,,,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,,yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,3,spanish,spanish_3,behavior,pref,test_only,HPP,orientation_time,within_two,Spanish,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,SpCs-CaCe,native_natclassforeign,yesno,yesno,lang,same,segmental,lpf,fixed,28,typical,audio,same,IDS,test_lang1,test_lang2,10,,4.5,,127,20,,,,,1.301,1.468,0.183,0.196,,,4.434,,,,,,<0.002,,,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,,yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,4a,catalan,catalan_4a,behavior,pref,test_only,HPP,orientation_time,within_two,Catalan,Spanish,Central Catalan/Castilian Spanish,47.665,32.60595,28.02819,47.01,37.58111,,37.13903,,56.45,27.7815,,,,,,American English,49.61284,57.02825,56.82514,57.74966,55.2508,,58.54845,,67.53651,,,,,,5.7346,CaCe/SpCs-EnAm,native_forclassforeign,yesno,yesno,lang,diff,none,none,fixed,28,bilingual,audio,same,IDS,test_lang1,test_lang2,10,,2,,127,20,,,,,1.597,1.454,0.498,0.508,,,-4.620,,,,,,<0.001,,Y,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,conflates test_lang1 Catalan (n=5) and Spanish (n=5),yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,4b,4b,4b,behavior,pref,test_only,HPP,orientation_time,within_two,Catalan,Spanish,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,CaCe-SpCs,native_native,yesno,yesno,lang,same,none,none,fixed,28,bilingual,audio,same,IDS,test_lang1,test_lang2,10,,3,,134,25,,,,,1.311,1.291,0.324,0.325,,,-1.205,,,,,,<0.25,,,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,reversed t sign,yes
bosch97,"Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1",Bosch & Sebastian-Galles (1997),10.1016/S0010-0277(97)00040-1,yes,LG,,5,catalan,catalan_5,behavior,pref,test_only,HPP,orientation_time,within_two,Catalan,Spanish,Central Catalan/Castilian Spanish,47.665,32.60595,28.02819,47.01,37.58111,,37.13903,,56.45,27.7815,,,,,,Italian,48.82214,46.03735,41.75257,50.40455,53.30909,,47.546,,52.07357,,,,,,6.8,CaCe/SpCs-It,native_natclassforeign,yesno,yesno,lang,same,none,none,fixed,28,bilingual,audio,same,IDS,test_lang1,test_lang2,10,,3,,135,49,,,,,1.445,1.292,0.451,0.326,,,-2.550,,,,,,<0.03,,Y,paper,,,https://drive.google.com/file/d/18S4uGz-gnUpxEIY3XUW5s0c42TYHjmZr/view?usp=sharing,,conflates test_lang1 Catalan (n=5) and Spanish (n=5),yes
bosch01a,"Bosch, L., Cortés, C., & Sebastian-Galles, N. (2001). El reconocimiento temprano de la lengua materna: Un estudio basado en la voz masculina [Early native-language recognition capacities: A study based on male-voices]. Infancia y Aprendizaje, 24(2), 197-213. https://doi.org/10.1174/021037001316920735",Bosch et al. (2001),10.1174/021037001316920735,yes,LG,,1,catalan,catalan,behavior,pref,test_only,HPP,orientation_time,within_two,Central Catalan,,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,CaCe-SpCs,native_natclassforeign,yesno,yesno,lang,same,none,none,fixed,28,typical,audio,diff,IDS,test_lang1,test_lang2,10,,1,,147,23,,,,,1.299,1.523,,,,,3.568,,,,,,<0.006,,,paper,,,https://drive.google.com/file/d/1-eUSd9x69b5jbU8QsD9GZqtjt9UC82M9/view?usp=sharing,,reported as p<0.006,yes
